=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.11.21 17:05:17 =~=~=~=~=~=~=~=~=~=~=~=,,,
X,Y,Z,M
0,-0.69,0.1,0.69
0,-0.69,0.1,0.69
0,0,0,0
0,-0.39,-0.29,0.49
0,-0.49,0,0.49
0,-0.69,0,0.69
0,0,0,0
-0.2,-0.59,-0.59,0.85
0,-0.39,0,0.39
0,0,0,0
0,-0.59,-0.29,0.66
0,-0.39,-0.39,0.55
-0.2,0,-0.69,0.71
-0.39,-0.29,0,0.49
0,0,-0.29,0.29
-0.39,-0.49,-0.69,0.93
0,-0.59,-0.49,0.77
-0.39,-0.49,-0.69,0.93
-0.59,-0.29,-0.59,0.88
-0.29,0,-0.69,0.75
-0.29,-0.49,-0.39,0.69
-0.29,-0.78,-0.69,1.08
-0.29,-0.49,-0.88,1.05
-0.49,-0.39,-0.49,0.8
-0.39,-0.59,-0.88,1.13
-0.39,-0.59,-0.39,0.81
0,-0.69,-0.88,1.12
-0.29,-0.39,-0.59,0.77
-0.39,-0.39,-0.49,0.74
-0.49,-0.39,-0.88,1.08
-0.39,-0.39,-0.78,0.96
-0.29,-0.29,-0.69,0.8
-0.59,-0.49,-0.88,1.17
-0.49,-0.69,-0.98,1.29
-0.39,-0.39,-1.08,1.21
-0.49,-0.39,-0.78,1
-0.59,-0.59,-1.08,1.36
-0.39,-0.2,-0.88,0.98
-0.39,-0.39,-0.98,1.13
-0.49,-0.2,-0.78,0.94
-0.59,-0.39,-0.98,1.21
-0.69,0,-0.98,1.2
-0.49,-0.49,-0.69,0.97
-0.39,0,-0.78,0.88
-0.59,-0.39,-0.59,0.92
-0.59,-0.59,-0.39,0.92
-0.59,-0.49,-0.69,1.03
-0.39,-0.29,-0.49,0.69
-0.39,-0.49,-0.39,0.74
-0.69,-0.2,-0.29,0.77
-0.78,0,-0.69,1.04
-0.59,-0.29,-1.18,1.35
-0.59,-0.39,-1.47,1.63
-0.78,0,-1.47,1.67
-0.59,0.2,-1.57,1.69
-0.69,0,-2.06,2.17
-0.88,-0.39,-1.96,2.18
-0.88,-0.78,-1.86,2.2
-0.88,-0.59,-1.67,1.97
-0.69,0,-1.18,1.36
-0.69,-0.59,-1.37,1.64
-0.59,-0.39,-0.98,1.21
-0.78,-0.2,-1.18,1.43
-0.59,-0.59,-0.49,0.96
-1.18,-0.69,-0.29,1.39
-0.88,0,-0.49,1.01
-0.78,-0.49,-0.59,1.1
-0.78,-0.39,-0.49,1
-0.78,0,-0.49,0.92
-0.59,-0.39,-0.2,0.73
-0.49,-0.39,-0.59,0.86
-1.08,-0.29,-0.69,1.31
-0.98,0,-0.78,1.25
-0.78,-0.29,-0.78,1.15
-0.78,0,-1.08,1.33
-0.78,0,-0.69,1.04
-1.08,0,-1.18,1.59
-0.69,-0.29,-0.98,1.23
-1.18,0,-0.69,1.36
-0.88,-0.39,-0.88,1.31
-0.78,0,-0.59,0.98
-0.69,-0.29,-0.29,0.8
-0.78,0,-0.69,1.04
-1.08,-0.2,-0.59,1.24
-0.88,-0.2,-0.39,0.98
-0.88,0,0,0.88
-0.59,-0.39,-0.69,0.98
-0.98,-0.39,0,1.06
-0.88,-0.39,-0.29,1.01
-0.78,-0.39,-0.59,1.06
-0.78,0,-0.78,1.11
-0.88,-0.39,-0.39,1.04
-0.69,-0.2,-0.49,0.87
-0.78,-0.39,-0.69,1.11
-0.78,-0.29,-0.39,0.92
-0.69,-0.49,-0.78,1.15
-0.88,-0.69,-0.69,1.31
-1.08,0,-1.18,1.59
-0.69,-0.49,-0.98,1.29
-0.78,-0.49,-0.49,1.05
-0.78,-0.49,-0.69,1.15
-0.88,-0.39,-0.59,1.13
-0.98,-0.39,-0.78,1.31
-0.98,-0.39,-0.59,1.21
-0.98,-0.59,-0.39,1.21
-0.98,-0.39,-0.39,1.13
-0.88,-0.29,-0.49,1.05
-1.27,-0.39,0,1.33
-0.69,-0.39,-0.29,0.84
-0.98,-0.69,-0.39,1.26
-0.98,0,-0.39,1.06
-0.69,-0.59,-0.29,0.95
-0.88,-0.39,-0.59,1.13
-0.78,-0.39,-0.59,1.06
-0.59,-0.39,-0.39,0.81
-0.78,-0.49,-0.29,0.97
-0.78,-0.39,0,0.88
-0.88,-0.49,-0.39,1.08
-0.88,-0.29,-0.49,1.05
-0.78,-0.69,0,1.04
-0.59,-0.59,0,0.83
-0.78,-0.39,-0.29,0.92
-0.69,-0.69,-0.49,1.09
-0.59,-0.69,-0.2,0.92
-0.78,-0.29,-0.29,0.89
-0.88,-0.49,-0.39,1.08
-0.88,-0.39,-0.29,1.01
-0.88,-0.39,0,0.96
-0.88,0,-0.49,1.01
-0.78,-0.69,-0.49,1.15
-0.88,-0.69,-0.59,1.26
-0.78,-0.39,-0.78,1.18
-0.78,-0.59,-0.39,1.06
-0.78,0,-0.59,0.98
-0.88,-0.1,-0.49,1.01
-0.88,0,-0.49,1.01
-0.78,-0.39,-0.29,0.92
-0.69,-0.59,0.1,0.91
-0.88,-0.39,-0.49,1.08
-0.98,-0.2,0,1
-0.98,-0.49,-0.39,1.16
-0.88,-0.39,-0.29,1.01
-0.69,-0.29,-0.49,0.89
-0.69,-0.29,-0.29,0.8
-0.69,0,-0.39,0.79
-0.78,0,0,0.78
-0.69,-0.59,0,0.9
-0.59,-0.49,-0.39,0.86
-0.69,0,-0.39,0.79
-0.88,-0.39,-0.49,1.08
-0.98,-0.39,-0.39,1.13
-0.59,-0.69,0,0.9
-0.98,-0.49,0,1.1
-0.78,-0.78,-0.29,1.15
-0.69,-0.29,0,0.75
-0.88,-0.69,0,1.12
-0.88,-0.39,0,0.96
-0.98,-0.59,0,1.14
-0.98,-0.59,-0.39,1.21
-0.69,-0.2,0,0.71
-0.69,-0.69,0,0.97
-0.78,-0.39,-0.39,0.96
-0.88,-0.49,-0.29,1.05
-0.78,-0.29,0,0.84
-0.49,-0.49,-0.49,0.85
-0.98,-0.39,0,1.06
-0.78,-0.29,-0.29,0.89
-0.88,-0.69,-0.39,1.18
-0.78,-0.49,-0.69,1.15
-0.98,-0.29,-0.29,1.06
-0.78,0,-0.39,0.88
-1.08,-0.59,-0.59,1.36
-0.78,-0.39,-0.39,0.96
-1.18,-0.2,-0.29,1.23
-0.88,-0.29,-0.39,1.01
-1.18,-0.39,-0.39,1.3
-0.78,-0.59,-0.59,1.14
-1.08,-0.29,0,1.12
-0.88,-0.78,-0.59,1.32
-0.78,-0.39,-0.39,0.96
-1.08,-0.49,-0.69,1.37
-0.69,-0.39,-0.49,0.93
-0.78,-0.69,-0.49,1.15
-0.78,-0.39,-0.39,0.96
-0.98,-0.49,-0.49,1.2
-0.88,-0.49,-0.59,1.17
-0.98,-0.39,0,1.06
-0.78,-0.49,-0.39,1
-0.88,-0.49,-0.39,1.08
-0.88,-0.78,-0.49,1.28
-0.69,-0.49,-0.78,1.15
-0.78,-0.49,-0.78,1.21
-0.88,-0.2,0,0.9
-0.88,-0.59,-0.59,1.21
-0.78,-0.69,-0.69,1.25
-0.98,-0.39,-0.39,1.13
-0.88,-0.39,-0.49,1.08
-0.98,-0.59,-0.69,1.33
-1.08,-0.49,-0.49,1.28
-0.78,-0.49,-0.69,1.15
-0.78,-0.49,-0.49,1.05
-0.88,-0.49,-0.78,1.28
-0.98,-0.49,-0.78,1.35
-0.98,-0.29,-0.59,1.18
-1.18,-0.39,-0.69,1.42
-0.78,0,-0.88,1.18
-0.78,-0.69,-0.69,1.25
-0.88,-0.29,0,0.93
-0.98,-0.2,-0.29,1.04
-1.08,-0.59,-0.39,1.29
-0.78,-0.69,0.1,1.05
-1.08,-0.2,0,1.1
-0.69,-0.29,-0.29,0.8
-0.88,-0.78,0,1.18
-0.78,-0.49,0,0.92
-0.78,-0.2,-0.29,0.86
-0.59,-0.39,-0.49,0.86
-0.69,-0.29,-0.29,0.8
-0.88,0,0,0.88
-0.88,-0.78,-0.59,1.32
-0.78,-0.29,0,0.84
-0.88,-0.39,0,0.96
-0.88,-0.39,-0.39,1.04
-0.78,-0.49,-0.39,1
-0.78,-0.29,-0.39,0.92
-0.78,-0.29,-0.29,0.89
-0.69,-0.59,-0.49,1.03
-0.98,-0.49,-0.39,1.16
-0.88,0,0,0.88
-0.49,-0.49,-0.49,0.85
-0.69,-0.49,0,0.84
-0.78,-0.49,0,0.92
-0.78,-0.39,-0.49,1
-0.69,-0.49,0,0.84
-0.98,-0.2,-0.39,1.07
-0.69,-0.39,-0.49,0.93
-1.18,-0.2,-0.49,1.29
-0.69,0,0,0.69
-0.78,-0.39,-0.59,1.06
-0.98,-0.49,-0.39,1.16
-0.69,0,-0.39,0.79
-0.78,-0.39,-0.39,0.96
-0.88,-0.29,-0.39,1.01
-0.78,-0.39,0,0.88
-0.98,-0.39,-0.29,1.1
-0.98,-0.39,-0.69,1.26
-0.98,-0.49,0,1.1
-0.78,-0.69,-0.39,1.11
-0.98,-0.29,0,1.02
-0.78,-0.29,-0.39,0.92
-0.88,-0.39,0,0.96
-0.98,0,-0.29,1.02
-0.78,0,0,0.78
-0.69,-0.39,0,0.79
-0.98,-0.29,0,1.02
-0.78,-0.49,0,0.92
-1.08,-0.59,0,1.23
-0.88,-0.2,0,0.9
-0.78,-0.49,0,0.92
-0.69,-0.59,0,0.9
-0.59,-0.49,0,0.77
-0.78,-0.29,0,0.84
-0.78,-0.29,-0.29,0.89
-0.78,-0.39,0,0.88
-1.08,0,0,1.08
-0.88,-0.29,0,0.93
-0.98,-0.69,-0.2,1.21
-0.78,-0.2,0,0.81
-0.69,-0.59,0,0.9
-0.88,-0.39,0,0.96
-0.88,0,-0.39,0.96
-0.78,-0.78,0,1.11
-0.88,-0.39,-0.39,1.04
-1.08,-0.69,-0.39,1.34
-0.69,-0.39,-0.29,0.84
-0.78,-0.2,-0.39,0.9
-0.98,-0.39,-0.29,1.1
-0.69,-0.39,-0.39,0.88
-0.98,-0.49,-0.59,1.24
-0.78,-0.2,-0.49,0.94
-0.98,-0.49,0,1.1
-0.69,-0.2,0,0.71
-0.78,-0.69,0,1.04
-0.88,-0.59,-0.29,1.1
-0.98,-0.69,0,1.2
-0.88,-0.29,-0.29,0.97
-0.78,-0.49,-0.29,0.97
-0.88,-0.78,0,1.18
-0.69,-0.29,0,0.75
-0.78,-0.49,0,0.92
-0.98,-0.49,0,1.1
-0.98,-0.49,0,1.1
-0.78,-0.49,-0.59,1.1
-1.08,-0.39,-0.39,1.21
-0.78,-0.49,-0.39,1
-0.69,0,-0.29,0.75
-0.69,-0.49,-0.29,0.89
-0.69,-0.2,0,0.71
-0.98,0,-0.49,1.1
-0.69,-0.39,0,0.79
-0.49,-0.39,0,0.63
-0.69,-0.49,0,0.84
-0.98,-0.78,-0.39,1.31
-0.88,-0.59,0,1.06
-0.88,-0.59,-0.39,1.13
-0.88,-0.59,-0.78,1.32
-0.88,-0.59,0,1.06
-0.78,-0.29,-0.29,0.89
-0.78,-0.49,0,0.92
-0.98,-0.29,-0.2,1.04
-0.88,-0.29,0,0.93
-0.98,-0.78,-0.29,1.29
-0.88,-0.49,-0.49,1.12
-0.98,-0.29,-0.49,1.13
-0.88,-0.39,-0.59,1.13
-0.59,-0.49,0,0.77
-0.78,-0.59,0,0.98
-0.59,-0.29,0,0.66
-0.78,-0.39,0,0.88
-0.69,-0.39,-0.49,0.93
-0.98,-0.39,0,1.06
-0.88,-0.49,0,1.01
-0.88,-0.49,-0.29,1.05
-0.88,-0.39,-0.29,1.01
-0.78,-0.49,-0.39,1
-0.78,-0.2,-0.29,0.86
-0.78,-0.39,-0.39,0.96
-0.78,-0.49,0,0.92
-0.98,-0.2,-0.29,1.04
-0.69,-0.39,0,0.79
-0.78,-0.59,0,0.98
-0.78,-0.29,0,0.84
-0.88,-0.49,-0.59,1.17
-0.88,-0.39,0,0.96
-0.69,-0.69,-0.39,1.05
-0.69,-0.59,-0.29,0.95
-0.98,0,-0.78,1.25
-0.88,-0.29,-0.39,1.01
-0.88,-0.29,0,0.93
-0.69,-0.39,0,0.79
-0.88,-0.29,-0.29,0.97
-0.69,-0.39,-0.39,0.88
-0.69,-0.88,0,1.12
-0.88,-0.39,-0.39,1.04
-0.69,-0.39,0,0.79
-0.88,-0.49,-0.59,1.17
-0.88,-0.29,-0.39,1.01
-0.69,-0.29,0,0.75
-0.69,-0.2,-0.39,0.81
-0.78,-0.29,-0.29,0.89
-0.69,-0.39,-0.29,0.84
-0.59,-0.2,0,0.62
-0.78,-0.2,0,0.81
-0.69,-0.39,-0.2,0.81
-0.78,0,0,0.78
-0.98,-0.39,-0.39,1.13
-0.49,-0.39,-0.59,0.86
-0.69,-0.29,-0.59,0.95
-0.78,-0.2,-0.39,0.9
-0.88,-0.39,-0.29,1.01
-0.78,-0.2,0,0.81
-0.59,-0.59,0,0.83
-0.69,-0.39,-0.39,0.88
-0.59,-0.49,-0.29,0.82
-0.88,0,-0.59,1.06
-0.59,-0.2,0,0.62
-0.78,-0.39,-0.69,1.11
-0.59,-0.29,-0.2,0.69
-0.88,-0.29,0,0.93
-0.88,-0.2,0,0.9
-0.49,-0.29,0,0.57
-0.88,-0.39,0,0.96
-0.98,-0.29,0,1.02
-0.78,-0.39,-0.29,0.92
-0.69,-0.39,-0.29,0.84
-0.88,-0.59,-0.29,1.1
-0.78,-0.59,-0.39,1.06
-0.59,-0.49,0,0.77
-0.88,0,-0.39,0.96
-0.39,-0.39,-0.29,0.63
-0.88,-0.49,0,1.01
-0.78,-0.49,0,0.92
-0.69,-0.59,-0.49,1.03
-0.78,-0.39,-0.29,0.92
-0.69,-0.69,-0.49,1.09
-0.69,-0.39,-0.39,0.88
-0.78,-0.49,-0.49,1.05
-0.69,-0.59,-0.29,0.95
-0.59,-0.29,0,0.66
-0.69,-0.49,0,0.84
-0.69,-0.49,-0.39,0.93
-0.78,-0.2,-0.49,0.94
-0.49,-0.29,-0.29,0.64
-0.49,-0.49,-0.39,0.8
-0.69,-0.78,-0.39,1.11
-0.59,-0.49,-0.29,0.82
-0.69,-0.29,-0.29,0.8
-0.69,-0.59,0,0.9
-0.39,-0.29,-0.39,0.63
-0.49,-0.59,-0.69,1.03
-0.78,-0.98,-0.39,1.31
-0.69,-0.39,-0.29,0.84
-0.59,-0.39,-0.29,0.77
-0.59,0,-0.2,0.62
-0.69,-0.49,-0.49,0.97
-0.69,0,-0.29,0.75
-0.69,-0.39,0,0.79
-0.59,-0.49,-0.39,0.86
-0.49,-0.29,-0.39,0.69
-0.39,-0.59,-0.29,0.77
-0.59,-0.2,-0.49,0.79
-0.59,-0.29,-0.69,0.95
-0.59,-0.59,-0.49,0.96
-0.69,-0.39,-0.39,0.88
-0.49,0,0,0.49
-0.29,-0.69,0,0.75
-0.49,-0.49,-0.59,0.91
-0.69,-0.39,0,0.79
-0.39,-0.49,-0.39,0.74
-0.59,-0.29,-0.29,0.72
-0.69,-0.59,-0.59,1.08
-0.69,-0.69,-0.39,1.05
-0.49,-0.49,-0.29,0.75
-0.39,-0.29,0,0.49
-0.59,-0.39,0,0.71
-0.29,-0.2,-0.49,0.6
-0.29,-0.39,-0.49,0.69
-0.49,-0.29,-0.39,0.69
-0.39,-0.69,-0.39,0.88
-0.2,-0.29,0,0.35
-0.69,-0.2,-0.69,0.99
-0.49,-0.39,-0.39,0.74
-0.2,-0.69,-0.49,0.87
-0.69,-0.39,-0.39,0.88
-0.59,-0.69,-0.59,1.08
-0.29,-0.49,-0.59,0.82
-0.29,-0.59,-0.29,0.72
-0.39,-0.39,0,0.55
-0.29,-0.69,-0.49,0.89
-0.2,-0.39,-0.39,0.59
-0.29,0,0,0.29
0,-0.69,-0.49,0.84
-0.2,-0.49,-0.29,0.6
-0.29,-0.69,-0.49,0.89
-0.59,-0.49,-0.78,1.1
-0.29,-0.59,-0.49,0.82
0,-0.2,-0.39,0.44
0,-0.29,-0.78,0.84
0,-0.49,-0.39,0.63
-0.2,0,-0.69,0.71
-0.2,-0.49,-0.69,0.87
0,0,-0.39,0.39
0,-0.49,-0.39,0.63
-0.29,-0.39,-0.59,0.77
0,0,-0.49,0.49
-0.29,-0.29,-0.29,0.51
0,-0.49,-0.69,0.84
0,-0.39,-0.29,0.49
-0.2,-0.29,-0.59,0.69
0,-0.49,-0.49,0.69
-0.2,-0.59,-0.59,0.85
0,-0.29,-0.59,0.66
0,-0.29,0,0.29
0,-0.29,-0.78,0.84
0,0,-0.39,0.39
0.1,-0.59,-0.39,0.71
0,-0.39,-0.69,0.79
0,-0.29,-0.39,0.49
0,-0.49,-0.29,0.57
0,0,-0.29,0.29
0.2,-0.49,-1.08,1.2
0,-0.59,-0.39,0.71
0,0,-0.69,0.69
0.29,-0.78,-0.29,0.89
0,-0.49,-0.69,0.84
0,-0.29,-0.39,0.49
0.1,-0.29,-0.88,0.93
0.29,-0.39,-0.29,0.57
0.29,-0.39,-0.59,0.77
0.2,0,-0.49,0.53
0.29,-0.39,-0.59,0.77
0.59,-0.29,-0.59,0.88
0.29,0,-0.69,0.75
0.29,-0.49,-0.69,0.89
0.29,-0.2,-0.69,0.77
0.29,-0.29,-0.59,0.72
0.49,-0.39,-0.69,0.93
0.49,-0.49,-0.59,0.91
0.39,-0.2,-1.18,1.25
0.49,-0.29,-0.69,0.89
0.69,-0.29,-0.49,0.89
0.69,-0.69,-0.78,1.25
0.69,0,-0.98,1.2
0.78,0,-0.39,0.88
0.88,-0.2,-0.78,1.2
1.08,-0.2,-0.78,1.35
0.69,-0.39,-0.78,1.11
0.98,-0.29,-0.29,1.06
0.59,-0.49,-0.69,1.03
0.69,0,-0.69,0.97
0.78,-0.39,-0.59,1.06
1.08,-0.29,-1.08,1.55
0.98,-0.2,-0.39,1.07
1.08,-0.39,-0.49,1.25
1.08,-0.29,-0.49,1.22
0.98,0,-0.69,1.2
1.37,-0.59,-0.88,1.73
1.18,-0.29,-0.59,1.35
0.88,-0.39,-0.78,1.24
1.08,-0.29,-0.78,1.36
1.47,-0.39,-1.18,1.92
1.27,0,-0.49,1.36
1.37,-0.49,-0.69,1.61
1.47,-0.69,-0.78,1.8
1.37,-0.39,-0.69,1.58
1.47,0,-0.39,1.52
1.67,-0.39,-0.98,1.97
1.67,0,-0.49,1.74
1.67,-0.29,-0.59,1.79
1.86,0,-0.69,1.98
1.67,-0.39,-0.78,1.88
1.86,0,-0.59,1.95
1.96,-0.2,-0.78,2.12
1.76,-0.2,-0.69,1.9
1.96,-0.2,-0.59,2.05
1.86,0,-0.88,2.06
1.86,-0.59,-0.78,2.1
2.16,-0.39,-0.59,2.27
2.35,-0.2,-0.69,2.46
2.16,-0.49,-0.69,2.31
2.06,-0.39,-0.59,2.18
2.35,-0.59,-0.88,2.58
2.16,0,-0.39,2.19
2.35,-0.39,-0.49,2.43
2.25,-0.29,-0.69,2.37
2.35,-0.2,-0.88,2.52
2.45,-0.39,-0.59,2.55
2.25,-0.78,0.59,2.46
-56.04,69.56,-52.12,103.41
11.07,17.05,-17.05,26.53
-6.27,-44.57,-15.97,47.76
-57.41,-4.31,-1.96,57.6
25.08,-20.28,-25.18,40.92
3.13,4.9,4.41,7.3
-5.19,-1.67,5.29,7.6
44.87,37.03,48.2,75.55
31.25,-0.88,-4.31,31.56
-9.4,-1.76,0,9.57
1.27,-0.59,-0.88,1.66
0,6.17,-4.7,7.76
-4.02,3.72,0,5.48
-5.09,-2.94,-12.34,13.67
-2.84,1.47,-1.96,3.75
-2.55,-1.76,0,3.1
0.78,0,0,0.78
3.92,0,0.49,3.95
0.78,0,-1.08,1.33
1.08,-0.39,-0.98,1.51
-2.45,-1.18,-0.59,2.78
-1.96,-0.78,-3.23,3.86
1.96,0.39,2.16,2.94
1.47,0.2,2.55,2.95
2.45,-0.88,0.2,2.61
0.2,-3.13,-0.88,3.26
0.98,-0.78,0,1.25
1.37,-0.39,0.69,1.58
-3.13,-2.06,-2.45,4.48
-4.41,0.88,0.49,4.52
2.74,1.67,1.47,3.53
2.16,-8.43,-8.03,11.84
5.39,-6.96,-1.08,8.86
-7.74,5.88,-4.11,10.55
6.27,-0.88,-1.76,6.57
-4.7,-1.67,-0.49,5.01
-1.37,0.1,-3.53,3.79
6.17,0.98,-0.29,6.26
-3.53,-0.39,0,3.55
0.98,1.47,0.98,2.02
0,-0.88,-0.39,0.96
0.59,-1.18,-0.59,1.44
-1.37,-0.78,0,1.58
-0.59,-0.39,0,0.71
0.2,0,0,0.2
-0.98,-0.69,-0.49,1.29
-1.08,0,-0.39,1.15
0.98,-1.37,-0.98,1.95
-0.49,-0.59,0.69,1.03
-0.2,-0.39,0,0.44
-0.39,-0.2,-0.59,0.73
0.29,0.49,11.07,11.08
-3.33,11.95,37.72,39.71
-15.18,3.92,33.99,37.44
-7.54,-0.88,-7.54,10.7
-10.09,9.89,-4.9,14.96
-1.18,-0.29,0.69,1.39
1.27,2.55,10.97,11.34
-2.94,-1.08,0,3.13
3.23,-2.74,-0.2,4.24
-2.35,-1.67,0,2.88
0.29,-2.55,-3.04,3.97
0.1,-1.08,-1.76,2.07
3.13,-1.47,2.84,4.48
-2.55,-1.18,-0.98,2.97
4.02,-6.27,13.23,15.18
-5.58,-1.47,1.96,6.1
4.21,1.76,2.35,5.14
-0.98,0.1,-1.47,1.77
0,2.65,0.69,2.73
-1.08,0,0.1,1.08
1.76,-1.76,-0.59,2.56
0.2,-0.49,0.78,0.94
0.88,-0.69,0.39,1.18
0.88,-0.59,1.37,1.73
-0.39,-0.69,0.88,1.18
0.49,-0.2,0.98,1.11
-0.39,-1.27,0.1,1.34
0.29,-0.49,0.59,0.82
0.2,-0.49,0.59,0.79
0.2,0,0.49,0.53
0.59,0,0.88,1.06
0.2,-0.49,0.78,0.94
0.29,0,0.49,0.57
0,-0.2,0.69,0.71
0,-0.39,0.78,0.88
0.29,-0.39,0.29,0.57
0,-0.49,0.88,1.01
0.2,0,0.39,0.44
0,-0.39,0.39,0.55
0.1,0,0.69,0.69
0.2,-0.29,1.37,1.42
0.2,0,0.69,0.71
0.2,-0.2,0.78,0.83
0,0.2,0,0.2
0,0,0.88,0.88
0.1,0.1,0.39,0.42
0.29,0,0.78,0.84
0.2,0,0.88,0.9
0,0,0.98,0.98
0.1,-0.49,0.2,0.54
0,-0.29,0.49,0.57
0.2,-0.39,0.59,0.73
0.1,-0.59,0.59,0.84
0.29,-0.78,0.69,1.08
0.59,-1.27,0,1.4
0.1,-1.37,0,1.38
0,-1.67,0.39,1.71
-0.88,-1.86,0.78,2.2
-0.69,-0.98,0.39,1.26
0.98,-1.18,0.49,1.61
0.98,-1.76,0.69,2.13
0,-1.37,0.78,1.58
0,-1.76,0.1,1.77
0,-1.08,0.59,1.23
0,-1.08,0.2,1.1
0,-0.69,0.1,0.69
0.1,-0.39,0.2,0.45
0.29,-0.78,0.59,1.02
0.29,-0.88,0.98,1.35
0.2,-0.29,1.27,1.32
0.29,-0.29,1.47,1.53
-0.49,-1.08,0.1,1.19
0.29,-0.78,2.74,2.87
0.39,-0.29,1.27,1.36
0.39,-0.29,0.88,1.01
0.2,-1.37,2.45,2.81
0.1,0,0.88,0.89
0.29,-0.39,1.27,1.36
0.59,-0.69,2.35,2.52
0.1,0,0.98,0.98
0,-0.78,1.27,1.5
0.39,-0.69,2.45,2.57
0.29,-0.29,1.86,1.91
0,-0.2,2.06,2.07
0.29,0,1.86,1.88
0.49,-0.49,2.45,2.55
0.29,-0.29,1.76,1.81
0.39,0.2,1.76,1.82
0.39,0.1,2.06,2.1
0.29,0,1.76,1.79
0.29,-0.2,1.96,1.99
0.39,-0.39,1.86,1.94
0.29,-0.39,2.25,2.31
0.29,-0.29,1.57,1.62
0.49,-0.69,1.86,2.04
0.29,-0.59,1.67,1.79
0.29,-0.49,1.57,1.67
0.2,-0.49,2.06,2.12
0.39,-0.49,1.96,2.06
0.39,-0.59,2.35,2.46
0.49,-1.08,1.96,2.29
0.29,-0.78,1.96,2.13
0.39,-0.59,1.96,2.08
0,-0.98,1.76,2.02
0.39,-0.39,1.76,1.85
0.2,-0.78,1.57,1.76
0.39,-0.69,1.86,2.02
0.29,-0.69,2.25,2.37
0.49,-0.78,2.35,2.53
0.2,-0.59,1.47,1.59
0.49,-0.49,2.06,2.17
0.39,-0.78,1.86,2.06
0.2,-0.88,1.86,2.07
0.2,-0.69,1.86,1.99
0.39,-0.78,2.16,2.33
0.29,-0.69,2.06,2.19
0.29,-0.78,1.86,2.04
0.49,-0.39,1.76,1.87
0.49,-0.59,1.47,1.66
0.29,-0.59,1.76,1.88
0.2,-0.78,1.76,1.94
0.29,-0.49,1.67,1.76
0.2,-0.59,1.96,2.05
0.29,-0.29,1.96,2
0.39,-0.59,1.67,1.81
0.39,-0.78,1.67,1.88
0.29,-0.59,1.67,1.79
0.2,-0.78,1.47,1.68
0.39,-0.78,1.57,1.8
0.39,-0.49,1.57,1.69
0.29,-0.39,1.67,1.74
0.49,-0.39,1.57,1.69
0.49,-0.29,1.67,1.76
0.59,-0.49,1.47,1.66
0.39,-0.69,1.47,1.67
0.78,-0.78,1.57,1.92
0.39,-0.29,1.76,1.83
0.39,-0.59,1.57,1.72
0.39,-0.29,1.18,1.27
0.49,-0.78,1.37,1.65
0.59,-0.59,1.57,1.77
0.59,-0.2,1.27,1.42
0.49,-0.78,1.27,1.57
0.49,-0.69,1.57,1.78
0.49,-0.69,1.27,1.53
0.29,0,1.18,1.21
0.59,-0.39,1.27,1.46
0.69,-0.29,1.18,1.39
0.49,-0.39,1.27,1.42
0.39,-0.49,1.18,1.33
0.59,-0.29,1.27,1.43
0.39,-0.2,1.37,1.44
0.29,-0.29,1.18,1.25
0.2,-0.49,0.78,0.94
0.59,-0.49,1.18,1.4
0.59,-0.59,1.18,1.44
0.59,-0.49,1.08,1.32
0.49,-0.39,0.78,1
0.59,-0.69,0.98,1.33
0.59,-0.29,0.88,1.1
0.49,-0.29,1.37,1.49
0.49,-0.39,0.59,0.86
0.69,-0.59,0.29,0.95
0.39,-0.49,0.78,1
0.49,-0.39,0.49,0.8
0.69,-0.49,0.78,1.15
0.2,-0.69,0.98,1.21
0.59,-0.49,0.29,0.82
0.39,-0.59,0.69,0.98
0.39,-0.39,0.49,0.74
0.29,-0.39,0.59,0.77
0.39,-0.39,0.69,0.88
0.39,-0.69,0.2,0.81
0.29,-0.59,0.49,0.82
0.39,-0.39,0.49,0.74
0.2,-0.59,0.49,0.79
0.49,-0.49,0.29,0.75
0.29,-0.59,0.29,0.72
0.39,-0.39,0.1,0.56
0.29,-0.49,0.29,0.64
0.49,-0.39,0,0.63
0.2,0.49,0,0.53
0.59,-0.69,0,0.9
0.59,-1.27,0.2,1.42
0.29,-0.29,0.39,0.57
0,-0.29,0,0.29
0.59,-0.59,0,0.83
0.69,-1.08,0.39,1.34
0.29,-0.78,0,0.84
0.1,-0.88,0,0.89
0,-0.69,0.29,0.75
0.2,-0.39,0,0.44
0.29,-0.39,0,0.49
0.1,-0.49,0,0.5
0.2,-0.88,-0.29,0.95
0.1,-0.59,0,0.6
0,-0.49,0,0.49
0,-0.49,-0.29,0.57
0,-0.39,0,0.39
0.1,-0.39,0,0.4
0,-0.49,0,0.49
0,-0.69,0,0.69
0.2,-0.88,0,0.9
0,-0.39,-0.29,0.49
0,-0.49,0,0.49
0,-0.49,0,0.49
0,-0.59,-0.49,0.77
0,-0.29,-0.78,0.84
0,-0.29,-0.39,0.49
0,-0.29,-0.49,0.57
0,-0.29,-0.59,0.66
-0.29,-0.39,-0.69,0.84
-0.29,-0.49,-0.49,0.75
0,-0.49,-0.2,0.53
-0.29,-0.39,-0.59,0.77
-0.1,0,-0.98,0.98
-0.2,0,-0.59,0.62
-0.2,-0.29,-0.69,0.77
-0.2,-0.29,-0.59,0.69
-0.29,-0.39,-0.69,0.84
